,rating,aircraft,type_of_traveller,cabin_flown,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,verified,review
10,1,,Couple Leisure,Premium Economy,San Diego to Detroit,October 2023,1,1,1,1,1,1,1,0,Not Verified ,"  Bad attitude and customer service. I was flying from San Diego to Detroit on Delta. The Delta representative in the boarding was very rude. She made sure to stop me as she said I have three items (backpack, carry-on and small 6x4” crossbody). I had to step out of the lane put my crossbody inside the backpack. I had to lose my flower bouquets (the one my daughter gave me for my birthday) because of my 6x4” crossbody. I’m not sure what was her problem with me, but it was obvious she is not treating everyone equal as three people in front of me, including my husband, had three items with them and she let them go to the plain without saying anything to them. I am very disappointed with Delta staff. Delta was my first stop to shop for flight it will not be anymore for sure. I am using my mileage on the Delta Amex then I will not care about it anymore. You lost a good customer Delta."
11,3,,Solo Leisure,Economy Class,,May 2023,,,,,,,3,0,✅ Trip Verified ,"   This review pertains to the SkyMiles program. During the months of January and February in 2023, I embarked on a series of flights with Delta's partner airlines, which included LATAM, Aerolineas Argentinas, and Saudia. Regrettably, I failed to input my SkyMiles number when booking these flights. Consequently, I had to request mileage credit post-flight, a process that is typically straightforward. However, my experience with Delta proved to be far from hassle-free. Securing mileage credit from Delta proved to be an ordeal that required multiple requests and calls to customer service before any credit was recorded. It was not until September, a full seven months after my initial application, that I finally received mileage credit for the Saudia flights. Astonishingly, during a call with an agent in March, I was told my requests had been “archieved” and thus not acted upon. Then, when I called again in October, the agent advised that they had no record whatsoever that I had put in any request – this despite the fact that the agent in March had advised that my requests were safely in and I need not put them in again. It wasn't until October, following yet another customer service call, that I was granted the deserved credit for the Aerolineas Argentinas flights. However, the same agent informed me that she was unable to credit me for the LATAM flights, citing allegedly missing information in the documents I provided (boarding passes and receipts). In response, I diligently explained via email that all the requisite information was indeed included in the documents, but received no response. When I acquired a letter from LATAM confirming the presence of all necessary details and forwarded it to the agent with a request for confirmation of receipt, I was met with silence once more. Upon reaching out to Delta customer service to follow up, I was met with an abrupt response, being told that I ""could not keep calling them,"" despite this being only my initial follow-up call, and that further contact would supposedly further delay the process. The agent then refused to provide me with any case number or confirmation number for my call – which goes against most customer service protocols. The culmination of these experiences has led me to the unfortunate realization that Delta's customer service falls far short of the expected standards, characterized by contradictory instructions, leading customers on wild goose chases to obtain information already provided, and gaslighting of customers. It appears that this deliberate ""intentional friction"" is designed with the expectation that customers will eventually abandon their pursuit of rightful mileage credit. Such service is incredibly disappointing for an airline that is purportedly renowned for its high level of customer service in the United States."
12,2,Boeing 767-300,Family Leisure,Business Class,New York to Barcelona,October 2023,1,4,3,3,2,4,1,0,✅ Trip Verified ,   This business class was horrible. The beds were so small and tight that I nor my 2 friends got any sleep. We were so disappointed and really felt ripped off for spending 5 grand on this through princess ezair. You’re so busy trying to saved a buck that you cram in too many seats. It’s a joke to call this business class. Have to fly home November 3. Not looking forward to being up again all night.
13,5,,Couple Leisure,Economy Class,Baltimore to Honolulu,October 2023,1,3,4,4,3,2,3,1,Not Verified ,  Despite a long flight. Enjoyed meal and snacks provided. The inflight entertainment was good. The seats were very close and there is not much leg room.
14,1,,Couple Leisure,Economy Class,Tel Aviv to New York JFK,September 2023,,,,,1,,1,0,Not Verified ,"  I purchased a flight from Tel Aviv to JFK, they made an Emergency Landing in Dublin Ireland, their system was down so they couldn't provide any new flights, I paid $1300 for a new flight for me and my wife. And now after applying for reimbursements and being with them on Hold I got this email from Delta saying ""I understand you received a $200 travel voucher (they didn't) from our Proactive Service Recovery team, as we understand this trip was not as pleasant as it should have been. The compensation provided is not meant to place a value on your experience; rather it is an attempt to make amends for your disappointment with our service. You mentioned you had to book a ticket on another airline. While we share your disappointment, we hope you understand we are unable to consider reimbursement for other airline tickets, unused hotels, car rentals, recreational tickets, lost wages/income, child/pet care, or loss of time in these instances. Accordingly, we are unable to honor your request. We realize this is a disappointment, and trust you understand our position"". "
15,5,,Business,Economy Class,Palm Beach to Philadelphia via Atlanta,October 2023,3,3,2,3,3,2,2,0,✅ Trip Verified ,   I've never missed a connecting flight before. Our Delta plane landed on time but had to wait for a gate. I missed my flight by 5 mins. A group of us watched from inside the airport while the plane just sat there. I thought they would wait to close the gate especially since we were going from one delta flight to another. I will avoid booking with Delta from now on and avoid layovers at Atlanta International.
16,1,,Solo Leisure,Economy Class,Atlanta to West Palm beach,October 2023,1,1,,,1,,1,0,✅ Trip Verified ,   Delta is terrible. I had a flight scheduled to depart at 4pm and arrive in Atlanta at 6:45 where I needed to connect to another flight that left at 7:10. That main flight delayed 3x and I had to change my connecting flight twice until finally for the 3rd time there were no more connecting flights. They offered me another flight the next day that would arrive too late for my purpose of travel. Thanks to delta I missed my cousins funeral.
17,1,,Couple Leisure,Business Class,New York JFK to Honolulu,September 2023,5,3,4,1,3,1,1,0,Not Verified ,"  Spent a lot of money for a Delta one ticket. 1 hour into a 11 hour flight, my inflight entertainment stopped working. Despite the flight attendant attempting to restart it, it still didnt work. I was stuck there for close to 10 hours without any in flight entertainment. I filed a complaint, and only received a measly 10,000 points (monetary value of $100). I replied advising that this felt inadequate, and the response I received was that this was the maximum they offered for this kind of issue. Extremely disappointed, spent $2000 for terrible experience, and all they offer is $100 in return. Will never fly Delta again if I can avoid it."
18,2,,Couple Leisure,Economy Class,Washington to Los Angeles,October 2023,1,2,1,3,3,1,2,0,Not Verified ,"  Twenty minutes into the flight one of the two toilets on board for main cabin and economy class passengers stopped working. The only functioning toilet door was very difficult to open and the toilet was cleaned only once during the entire 5hr flight. The reason why I know that is because I was sitting in an exit row close to the toilets. Secondly, one of the flight attendants was rather rude she has no customer service skills and it was evident that she really did not want to do her job. We will never fly with Delta Air Lines again."
19,1,,Family Leisure,Economy Class,Portland to Huntsville via Atlanta,August 2023,1,2,1,1,1,1,1,0,✅ Trip Verified ," 1st Delta changed all 4 of our family's seats and double booked our 13 year old child and he was forced to stand for part of the flight. Then we landed in Atlanta and our connecting flight was cancelled to Huntsville, AL. They of course blamed weather so they wouldn't have to be held accountable although a flight (DL1726) flew out of Atlanta to Huntsville an hour later. We were told at the ticket counter our next available flight would be 3 days later and if that wasn't ""good enough"" we would have to choose ground transportation and we would be reimbursed for the flight not taken and a rental car. We were given the runaround for over 8 weeks now and over 5 hours of our time for Delta to offer us $25 credit towards our cancelled flight (not money back) and now they won't even reimburse us our $275 rental car to drive through the night to get our child to NASA Space camp on a Sunday. Very Disappointed!"
20,2,,Family Leisure,Economy Class,Detroit to Orlando,October 2023,1,,,,3,,1,0,Not Verified ,"  The ticketing agent cancelled my leg of the flight to Orlando from Detroit for today when rebooking my second leg despite telling us otherwise on the phone. The agent today that we spoke to from the airport was not helpful and just told us to buy a new ticket which would be over $500. I have been forced to fly another airline separately from my family with great inconvenience. The agent who messed up my reservation on August 22nd should be reprimanded for her incompetence and negligence causing emotional and financial stress. Such agents shouldn't be allowed to work for Delta. Extremely poor service experience both then and today. Pity, I used to think Delta was one of the better airlines ."
21,1,,Business,Economy Class,Piedmont to Phoenix via Atlanta,October 2023,1,3,1,1,3,3,1,0,Not Verified ,  Absolute trash company. We bought flights months ago with miles and the company overbooked the flight. The flight was originally for 10:30 am and they decided to put us on the 7:30 am flight. When I called to fix the problem I was told their rates had gone up and they offered me the original flight but in the main cabin rather than comfort +. I was told I'll have to take the flight and ask for a refund. I was told the refund department will decide if we get a refund or not. I've never had this many problems with American Airlines.
22,1,,Solo Leisure,Economy Class,Los Angeles to Rochester via New York,September 2023,2,3,2,3,1,1,1,0,✅ Trip Verified ,"  I've unfortunately already booked a couple more flights with this airline, but that will be the last time. I thought that Delta's standards had improved over the years, but I had the worst airline experience on September 29th at LAX's terminal 3. I got to the airport early and I had my dog in his carrier. I got stopped by a female employee who told me that my dog was too big for his carrier. This is not the case, he is a chihuahua mix, and I have flown with my dog many times with no issues on much longer flights. She did not offer any solutions, just told me I could not fly with the carrier I had. I got in line to talk to customer service to figure out what my options were, and she then ushered me over again with a manager. The manager told me I could only fly with my dog if I purchased a different carrier from Delta. While the manager went to get the carrier, I waited for 45-50 minutes and almost ran out of time to check my bag. When the manager came back, she had a carrier the same size if not smaller than the one I walked in with. I was flustered and just wanted to get on my flight since I was running out of time, and they charged me $75 for a cramped Delta-branded carrier. I was stressed, my dog was stressed, and I had to literally run through the airport, jostling my poor dog, to make my flight in time (5 minutes later and I would have missed it.) It felt like a weird, gross scam and it was the most stressed out I've ever been dealing with an airline before. I fly extremely frequently (6-12 roundtrip flights a year via various airlines) but Delta has lost my business for good."
23,10,,Family Leisure,Economy Class,New York JFK to Montego Bay ,November 2022,5,5,5,5,5,,5,1,Not Verified ,"  This airline truly marked the beginning of my vacation. I was travelling with my family to Jamaica and we already had bad experience at JFK Airport. Thankfully, this airline was a polar opposite of the airport. The staff was very kind and the food was good. Thank you Delta."
24,2,,Couple Leisure,Economy Class,San Francisco to Santiago de Chile via Atlanta,September 2023,1,3,4,5,1,1,4,0,✅ Trip Verified ," One of my worst journeys ever! Our experience started with the inability to check in online on Delta.com and paying for a 3rd additional suitcase, which forced us to get up early and to stand in line at terminal 2 at SFO airport, with the aggressive handling of a red suited male supervisor, making is repack our suitcases. After this stress we made it to near our departing gate for DL 916 to ATL right in time. We wanted to buy a sandwich and the departure screen showed on time for our flight. No sign of boarding, so we took our time. Suddenly the panel changed to last call, a practice I had seen in no other airport in the world. When notifying the harsh eyed lady at the Delta boarding gate, she only shrugged her shoulders and said this was the airport not the airline responsible for this wording. Guest feedback obviously is valued at Delta Airlines. Being a Skyteam frequent flyer with Air France Flying Blue, I wanted to connect to the wifi, but this was only allowed to Delta Skymiles members - or if I wanted to register with Delta Skymiles - an aberration if I am already a member with Flying Blue. Changing flight in Atlanta, we found ourselves in a packed plane and our seats being 50F and E, we could not even place our travelling backpacks in the overhead department, because two of these overheads were filled with the return flight staff equipment, so we had to squeeze these bags between our legs during 9 hours. On top of this Delta has one of the smallest leg space for its economy customers, as seen to this date. A horror of a night in an airplane and hardly will Delta see us ever book them again."
25,2,,Business,Business Class,New York to Nice,September 2023,1,2,1,1,2,1,1,0,Not Verified ,"  Ah, Delta. I have been loyal for over 40 years. In that time, I cannot count the number of times I said ""I love my Delta Airlines"". But lately, Delta has gone downhill. My latest flight international to Nice, FR, I took a chance on ""Premium Select"" class. A complete and utter waste of money. For the same price, I could have flown true business class with half a dozen other airlines - and gotten a full recline sleeper vs the garbage extra 1/2"" seat. I'm talking $1800 more (one way) to fly on Delta. Never again will I fly Delta internationally. Domestically, Delta is a second rate airline - another half dozen budget airlines have better pricing and a better experience. I consider Delta now a ""cattle car"" carrier. And the latest snub on sky miles, I will do everything I can to not fly Delta anymore and promote those airlines who care. Sadly, the Delta employees continue to be the most courteous and professional. But Delta, the writing is on the wall, you will become a ""has been"" airline."
26,8,A321neo,Solo Leisure,First Class,Los Angeles to Kona,September 2023,4,5,3,5,5,,5,1,✅ Trip Verified ,"  Mostly a very decent experience, by the lower standards we have become used to. On time departure, early arrival. Comfortable seat for a 5 hour flight. Dinner was weird, A fairly robust main dish portion ( veggie lasagna) but that’s it. No app, no sales, no side veggie. Served on a tray with a pre wrapped cookie. Wow. Highlights were the entertainment system and exemplary service by the lone flight attendant brilliantly and tirelessly serving 20 people on his own. Talk about rising to the occasion! This guy deserves a raise!"
27,1,Boeing 737,Couple Leisure,Economy Class,Seattle to Phoenix,September 2023,1,3,3,,2,,1,0,Not Verified ,"  We will never fly Delta again. Flight DL 1689 out of Seattle to Phoenix our connection was very short and had to literally run through the Seattle Airport, which is a nightmare in it self. I had asked a ticket for help in notifying the gate of this dilemma and received no help at all. I am 84 years old and had to run to the gate and when I got there my wife was trying to hold the gate and was told they couldn't do that, very unhelpful. I was last to board and the plane was packed like sardines and our seat was second to last row. To compound the situation, the person behind me was sick and kept sneezing on me between the seats. I could go on but from what I see from Delta, it will fall on deaf ears."
28,1,,Solo Leisure,Economy Class,Kansas City to Edinburgh via Atlanta,August 2023,3,4,2,5,4,,1,0,✅ Trip Verified ,"  I was booked on a flight Aug 24 to Edinburgh through Atlanta. I paid extra for a comfort seat (about $100) after I'd made the initial booking. I made the booking through Orbitz. The ticket was for a Virgin Atlantic flight operated by Delta. Delta called me at 8:57 am, Aug 24, about 10 minutes before I was to leave for the airport. They asked if I would be willing to be re-routed through Boston because MCI-ATL was over-sold. I was offered $300 which was accepted. Comfort seats were not available on the MCI-Boston flight so I was put into the main cabin. I called Delta when I got to the airport to say I also wanted a refund on the comfort seat which was a separate charge on my CC. I was told my CC had already been credited. I called my CC company when I returned and they have no record of impending credits. As of 9/22, it's still not credited. When I got home, I called Delta again and was told they couldn't help me unless I had the MCI-BOS ticket number which I didn't keep and can't find. They said to call Orbitz. Orbit said they couldn't help because Delta called me directly and they didn't have the info. They emailed the flight info they had (MCI-ATL-BOS) which is attached. Orbitz said to contact Virgin Atlantic. Virgin Atlantic also said they couldn't help for the same reason although they forwarded the information I gave them to Delta. I still haven't received a response. Had I been in business class and agreed to be put in the main cabin, I would have credited the difference so why not the $100 I paid for a comfort seat which I'm sure Delta either sold to another passenger or upgraded someone. Everyone else already booked in the main cabin who agreed to switch would have been paid $300. I'm out an extra $100. I have no complaints about the flights themselves or any Delta staff."
29,1,,Solo Leisure,Economy Class,Toronto to LaGuardia,September 2023,,,,,1,,1,0,✅ Trip Verified ,"  On Sunday September 10, my friend and I were returning back to Toronto from LaGuardia airport. We arrive at the airport and are waiting in the bag check line only to see on the screen that our flight was cancelled due to poor weather conditions. This was a surprise to us because we were not notified of this sudden cancellation until we got to the airport. Why not say something earlier or within the day so that we can plan accordingly? Our flights automatically got moved to Tuesday in the evening and we could stay here another day. We finally get to the front of the bag check line and we speak to the lady about the cancellation. Out of the 11 workers we spoke with during our time at the airport, she was one of the nice ones. We asked her if we could get any other flights tonight and she said there were none. She suggested we go to JFK and try but would not compensate us for travel to get there. Our flight was moved to Tuesday and it was Sunday evening. Where were we supposed to stay? They couldn't give us any hotel accommodations or nothing. They couldn't supply us with any solutions or offer to help or service us in any way which is poor customer service. We couldn't afford another night at a hotel so we actually ended up sleeping in the airport. They couldn't even supply blankets or nothing. We were just cold and freezing in the airport while we looked and googled for earlier flights, which are now double and triple the price. I'm talking $1,000 - $1,500 one way for a flight that was originally 300 or so. They couldnt even give us a refund for the flight. They just told us to call customer service. I had to wait 1-2 hours just to get a refund for that flight. So at this point we had to consider taking a bus until we finally found a flight with Delta the following day in the evening around 300. Fast forward to Monday September 11. We check in our bags go through everything and watching netflix by our gate until it was time to board. I think an hour or so before boarding I get an email saying that this flight is now cancelled. My friend and I check the screen and it still says the flight is on time. We went to the people at the gate who had to confirm whether or not the flight was cancelled. At this point we were getting even more frustrated because the same thing happened again. The customer service couldn't do anything for us. They moved our flight to Wednesday September 13. Again, no accommodation, no refund, nothing. The man acted like he did us a favor by giving us a food voucher for $32. What can $32 buy at an airport for 2 people? It was really frustrating because again we weren't notified until last minute of this cancellation. We decided to call and get another refund on the flight all while finding a bus that we could take to get home. We found 1 that was leaving at 10 pm and not too far from the airport. We purchased non refundable tickets, desperate to get home and thinking we would get there in time. We decided to get our bags that we checked and just take this bus. We headed to baggage claim and this was what really got me frustrated. We got there and our bags were not there! We had to wait 4 hours for our suitcases to come out. I asked countless workers where our bags were and we were either dismissed, ignored or not given a direct answer. Because baggage check took too long we missed the bus we were supposed to take and had to spend another night at the airport. We ended up taking a 6 am bus to finally get back home"
30,10,,Business,Economy Class,Dayton to Harrisburg ,September 2023,3,3,1,,5,,5,1,Not Verified ,  The gate agent Victoria in Dayton Ohio was so kind and helped me so much. I approached her when she first started her shift before she even logged on. She was so courteous and relieved my stress. 
31,1,,Solo Leisure,Economy Class,Vancouver to Phoenix,September 2023,1,1,,,1,,1,0,Not Verified ," Horrible! Tried to cancel my ticket. Agents were rude, they couldn't speak English properly, they were impatient and ultimately tried to rip me off by having me pay $99 in order to get a $242 credit (that would only have been good for 1 yr.) When I said that I wouldn't pay the $99 the guy said 'ok have a good day' and hung up. He also tried to string me along by saying 'we might be able to get your money back if you pay the $99' but he could not explain what missing information was needed in order to determine whether or not I'd get my money back. What a scam! Will never fly Delta again!!"
32,2,,Couple Leisure,Economy Class,Montreal to Nashville via Toronto,October 2022,2,5,,,1,,1,1,Not Verified ,"  Maintenance was not done to the airplane so they cancelled the flight and booked another one for us. We had to wait 8 hours at the airport. In Canada a credit or compensation must be made as stated by law. At the Delta counter they told the passengers to call Delta for the compensation. Numerous e-mails and calls were made to their customer service. Delta does not intend to conform with the law, which makes them a delinquent company. Now we have to deal with the Canadian transportation agency to get our compensation, which takes time. I don't recommend this airline to anyone and won't travel with them or any of their partners. I did not mind to book with a cheaper airline for a short flight, but we lost our time and energy in the process so we should have booked with a better company in the first place. Lesson learned! (Flight was in April 2022)."
33,4,,Solo Leisure,Economy Class,Richmond to Sarasota,October 2022,3,3,3,4,4,4,2,0,Not Verified ,"  Delta told clients that SkyMiles never expire. Now Delta says they will be reset to 0 every year! This is unacceptable, they are breaking their own promise. This is the 2nd time Delta has cheated me. In 2023 I was offered an Amex card and 40k miles. I spent the required $4,000 in three months, got the card, used it and instead of the 40k miles promised, I was given only 35k miles which now are going to be converted to annually reset MSD dollars! I protested, I sent them a screen shot of the offer, but I only got a run-around. This is in addition to the much higher requirements for redeeming miles than most all other airlines."
34,2,,Couple Leisure,Premium Economy,Florida to Raleigh,September 2023,3,2,1,2,3,2,2,0,✅ Trip Verified ," Delta is getting unprofessional by the day! Push my time back 4 times in one day. Then putting me on a connection flight to NYC. Once I get to NYC they then cancel it, making me get a hotel without a voucher! Spending extra money after I just came from vacation. Then the next day for the flight Delta employees want to come to work late (flight attendants) pushing our flight time further back. What happened professionalism in Delta. So frustrating!"
35,3,,Family Leisure,Economy Class,Prague to Boston ,August 2023,1,2,2,5,5,1,2,0,Not Verified ,"  Delta Air Lines subcontracted with KLM for the first part of our trip from Prague to Amsterdam. My minor son and I (traveling alone) had to be up at 3am to airport on time. The flight Delta scheduled was not even flying that day. I had to be on the phone for over 30 minutes (while standing in the Prague airport with my child) desperately trying to get someone to change the flight to the correct one so we could make our way home to Boston. We ended up managing to sprint through the airport (mind you, this child also has a serious heart condition!) after having just 15 minutes to get to our gate. Since this trip, I have reached out to Delta to provide feedback, only to have them refuse to take responsibility for their mistake. Instead, they have blamed everyone else and straight out denied this even happened. I have phone records to prove my call took place. But they simply refuse to accept the blame. We will not be using Delta for our next European trip."
36,4,,Couple Leisure,Premium Economy,Athens to Orlando via Boston ,September 2023,4,4,2,4,2,1,2,0,✅ Trip Verified ,"  As I was boarding my flight from Athens to Boston, a women working at the Delta gate told me the airline staff are over heading my name. A few minutes later, I was boarding and had a comfort plus seat along with my husband. As I gave my boarding pass to get on, a huge siren went off and they told me to step back they needed to speak to me. I moved to the location they requested when a man working for Delta said in a pressured, loud and aggressive tone “There is a problem with your seat, the TV doesn’t work but we can move you to another seat with a working TV.” I hesitated because this all caught me off guard and said ok but show me the seat and it was a middle seat without the extra leg room. I said no and he said “Are you sure?” and I said I was traveling with my husband and if we can’t sit together we will just keep the seat with the broken tv in comfort plus. As it turns out that TV worked and Delta had been trying to give my seat to someone else for more money! About 15 years ago, I flew Delta and again coming back to the US from Athens, Greece I connected in Paris and they did a similar thing and asked me while I was seated in my seat to get up and they gave my seat that I had a ticket for and was already seated in to a man with the explanation that it was really his seat despite me having a paid ticket and boarding pass with that seat number. I had to stay in the airport for 5 hours waiting for another Delta plane. I never forgot that and it took 15 years for me to fly overseas with Delta again and now they did this. I never write reviews but want others to know as well as Delta that I will never fly with them again and will let everyone know about the scam they do, especially overseas to young women to take their seats for other passengers."
37,1,,Solo Leisure,First Class,Tampa to Bangkok,August 2023,1,1,1,1,1,1,1,0,✅ Trip Verified ," Delta issued an award ticket in March, 2023 for first class using 340,000 miles including a business class connection on Korean Air. Delta than cancelled and changed routings 3 times, resulting in loss of Korean Air Business Class ticket which both Delta and Korean Air refused to reissue, resulting in cancellation of my Korean Air Business Class trip and severe disruption to my annual vacation plans. Delta cannot be trusted for award travel - 1) Excess point requirements, 2) Very hard to get award travel, 3) When awarded, they will cancel and not reissue! "
38,8,,Family Leisure,Economy Class,ORF to PARIS via NYC,August 2023,4,4,4,5,4,5,4,1,Not Verified ," I just wanted to acknowledge the professional experience we received from one of their customer service representatives. My husband and I had just landed in Paris on 16 August 2023 around 1000 and noticed that his bag did not make the flight. I spoke with Delta Customer Representative. She did an exceptional job walking us through the process and in return decreasing our anxiety. We appreciate her caring and professional attitude which ensured we received the best experience possible. on a scale of 1-10, she is a 20!"
39,1,,Family Leisure,Economy Class,Seatle to Phoenix,September 2023,1,1,,,1,,1,0,Not Verified ,"  Delta is not active duty military friendly. They did not help in any way when my sons orders got changed. I was absolutely appalled and am so glad there are many other airlines we can use found forward because no one in my family will ever fly with them again. I have 2 boys in the military and no airline has treated active duty military like Delta. Even Spirit Airlines was hassle free with last minute flight changes due to my son's orders being changed in the past. American Airlines, Southwest, Allegiant have all been super accommodating in making exceptions for active duty military. Shame on Delta for not supporting the military."
40,10,"CRJ 900, A321",Solo Leisure,Economy Class,Toronto to Las Vegas,May 2023,5,5,5,,5,5,5,1,✅ Trip Verified ," It's one of the best companies I've ever flown. The staff is very polite and communicable. There were no delays, I even came to the destination in advance. Was glad to fly with them, strongly recommend!"
